post,caption,date,likesComment,idFatherComment,idChildComment,username
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-07T08:03:24.000Z,0 like,losvegasoftime,,losvegasoftime
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-14T11:42:17.000Z,0 like,voxandoz,,voxandoz
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-10-23T18:22:49.000Z,0 like,fernanda.escareno,,fernanda.escareno
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,1 like,,danielde.avila,danielde.avila
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-13T12:01:57.000Z,0 like,carofortunaok,,carofortunaok
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-15T02:00:08.000Z,2 likes,thnkcreatively,,thnkcreatively
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-19T02:11:10.000Z,1 like,wake_upmypeople,,wake_upmypeople
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-23T01:18:43.000Z,1 like,soloveomemes12,,soloveomemes12
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-07-23T22:20:50.000Z,0 like,mustafaaaaaa_tiry,,mustafaaaaaa_tiry
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-01T21:23:57.000Z,1 like,ebrulette,,ebrulette
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-12T16:43:52.000Z,0 like,nass_ay,,nass_ay
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-15T16:51:13.000Z,0 like,santiagocedill0,,santiagocedill0
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,santiagocedill0,santiagocedill0
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,,0 like,,santiagocedill0,santiagocedill0
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-16T03:30:47.000Z,0 like,barais_r1an5,,barais_r1an5
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-17T03:36:14.000Z,0 like,mayur__gupta,,mayur__gupta
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-21T03:14:54.000Z,1 like,_osaze7,,_osaze7
teslamotors,This never gets old - @ the person you do this to most. 🎥 by @mikepfau,2020-08-29T10:50:54.000Z,1 like,aleixabrado,,aleixabrado
